date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2013-03-04,3147224,756599.0,-654276.0,-275843.0,-16248.0,684292.0,-420475.0,-134393.0,-175020.0,890405.0,-101397.0,36224.0,-21374.0,98606.0
2013-06-04,3039487,-107737.0,756599.0,-654276.0,-275843.0,-16248.0,684292.0,-420475.0,-134393.0,-175020.0,890405.0,-101397.0,36224.0,-21374.0
2013-08-02,2890263,-149224.0,-107737.0,756599.0,-654276.0,-275843.0,-16248.0,684292.0,-420475.0,-134393.0,-175020.0,890405.0,-101397.0,36224.0
2013-11-01,2354005,-536258.0,-149224.0,-107737.0,756599.0,-654276.0,-275843.0,-16248.0,684292.0,-420475.0,-134393.0,-175020.0,890405.0,-101397.0
2014-03-04,3010801,656796.0,-536258.0,-149224.0,-107737.0,756599.0,-654276.0,-275843.0,-16248.0,684292.0,-420475.0,-134393.0,-175020.0,890405.0
2014-06-04,2834558,-176243.0,656796.0,-536258.0,-149224.0,-107737.0,756599.0,-654276.0,-275843.0,-16248.0,684292.0,-420475.0,-134393.0,-175020.0
2014-09-04,2698071,-136487.0,-176243.0,656796.0,-536258.0,-149224.0,-107737.0,756599.0,-654276.0,-275843.0,-16248.0,684292.0,-420475.0,-134393.0
2014-12-27,3185018,486947.0,-136487.0,-176243.0,656796.0,-536258.0,-149224.0,-107737.0,756599.0,-654276.0,-275843.0,-16248.0,684292.0,-420475.0
2015-04-03,3020137,-164881.0,486947.0,-136487.0,-176243.0,656796.0,-536258.0,-149224.0,-107737.0,756599.0,-654276.0,-275843.0,-16248.0,684292.0
2015-07-03,2977466,-42671.0,-164881.0,486947.0,-136487.0,-176243.0,656796.0,-536258.0,-149224.0,-107737.0,756599.0,-654276.0,-275843.0,-16248.0
2015-10-03,2810583,-166883.0,-42671.0,-164881.0,486947.0,-136487.0,-176243.0,656796.0,-536258.0,-149224.0,-107737.0,756599.0,-654276.0,-275843.0
2015-12-28,2981494,170911.0,-166883.0,-42671.0,-164881.0,486947.0,-136487.0,-176243.0,656796.0,-536258.0,-149224.0,-107737.0,756599.0,-654276.0
2016-04-04,2696528,-284966.0,170911.0,-166883.0,-42671.0,-164881.0,486947.0,-136487.0,-176243.0,656796.0,-536258.0,-149224.0,-107737.0,756599.0
2016-07-04,2532488,-164040.0,-284966.0,170911.0,-166883.0,-42671.0,-164881.0,486947.0,-136487.0,-176243.0,656796.0,-536258.0,-149224.0,-107737.0
2016-11-04,2287521,-244967.0,-164040.0,-284966.0,170911.0,-166883.0,-42671.0,-164881.0,486947.0,-136487.0,-176243.0,656796.0,-536258.0,-149224.0
2017-02-03,2730184,442663.0,-244967.0,-164040.0,-284966.0,170911.0,-166883.0,-42671.0,-164881.0,486947.0,-136487.0,-176243.0,656796.0,-536258.0
2017-05-02,2688847,-41337.0,442663.0,-244967.0,-164040.0,-284966.0,170911.0,-166883.0,-42671.0,-164881.0,486947.0,-136487.0,-176243.0,656796.0
2017-08-04,2496033,-192814.0,-41337.0,442663.0,-244967.0,-164040.0,-284966.0,170911.0,-166883.0,-42671.0,-164881.0,486947.0,-136487.0,-176243.0
